seed,train_jurisdiction,test_jurisdiction,method,legal_accuracy
5,Contracts,US common,FedAvg,0.6033116478462813
5,Contracts,US common,FedProx,0.6160478864734206
5,Contracts,US common,FedLoRA,0.6321484479675364
5,Contracts,US common,Conflict-aware,0.6600993623397181
5,Contracts,US common,Full framework,0.683669722444267
5,Contracts,EU rights,Local-only,0.5674259387572765
5,Contracts,EU rights,Centralized,0.6034312051529603
5,Contracts,EU rights,FedAvg,0.6006568044567675
5,Contracts,EU rights,FedProx,0.6101191977826951
5,Contracts,EU rights,FedLoRA,0.6255517325613971
5,Contracts,EU rights,Conflict-aware,0.6702481674914369
5,Contracts,EU rights,Full framework,0.6954110912464737
5,Contracts,Contracts,Local-only,0.6452691564700265
5,Contracts,Contracts,Centralized,0.6795660807393882
5,Contracts,Contracts,FedAvg,0.6522356250700474
5,Contracts,Contracts,FedProx,0.6836468124968527
5,Contracts,Contracts,FedLoRA,0.6986151802312979
5,Contracts,Contracts,Conflict-aware,0.7326332598743036
5,Contracts,Contracts,Full framework,0.758248632700381
